County,Driver,Passenger,Pedalcyclist,Pedestrian,Fatalities,Crashes
Atlantic,22,6,2,19,49,46
Bergen,20,2,0,13,35,35
Burlington,24,4,2,11,41,40
Camden,30,2,2,35,69,67
Cape May,4,3,3,2,12,12
Cumberland,17,2,2,7,28,27
Essex,22,5,3,31,61,60
Gloucester,28,10,1,9,48,42
Hudson,11,3,3,13,30,29
Hunterdon,9,0,0,0,9,9
Mercer,16,8,2,12,38,35
Middlesex,26,8,1,12,47,45
Monmouth,18,4,1,11,34,32
Morris,15,5,1,4,25,25
Ocean,26,9,0,9,44,43
Passaic,12,4,1,8,25,24
Salem,19,2,0,1,22,20
Somerset,21,1,0,3,25,25
Sussex,7,0,1,3,11,11
Union,11,6,1,11,29,27
Warren,10,2,0,3,15,13
Total,368,86,26,217,697,667
